"REPORT_ID","Stats Area","Suburb","Postcode","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Position Type","Horizontal Align","Vertical Align","Other Feat","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","Entity Code","CSEF Severity","Traffic Ctrls","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y","UNIQUE_LOC"
"2013-1-27/05/2021","2 Metropolitan","KIDMAN PARK","5025","CITY OF CHARLES STURT",2,0,0,0,0,2013,"January","Thursday","07:45 am","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Turn","01","Driver Rider","1: PDO","No Control","","",1322178.33,1672218.62,"13221781672219"
"2013-2-27/05/2021","2 Metropolitan","ETHELTON","5015","CITY OF PORT ADELAIDE ENFIELD",2,0,0,0,0,2013,"January","Friday","08:15 am","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","No Control","","",1319180.2,1679265.67,"13191801679266"
"2013-3-27/05/2021","2 Metropolitan","KLEMZIG","5087","CITY OF PORT ADELAIDE ENFIELD",2,0,0,0,0,2013,"January","Tuesday","12:35 pm","060","Cross Road","Unknown","Unknown","Unknown","Sealed","Unknown","Unknown","Daylight","Rear End","02","Driver Rider","1: PDO","Traffic Signals","","",1332072.8,1676595.28,"13320731676595"
"2013-4-27/05/2021","2 Metropolitan","HENLEY BEACH","5022","CITY OF CHARLES STURT",2,0,0,0,0,2013,"January","Wednesday","03:35 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","Give Way Sign","","",1319257.84,1671539.65,"13192581671540"
"2013-5-27/05/2021","2 Metropolitan","MUNNO PARA WEST","5115","CITY OF PLAYFORD.",2,0,0,0,0,2013,"January","Wednesday","03:50 pm","060","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","Give Way Sign","","",1335849.85,1700711.46,"13358501700711"
"2013-6-27/05/2021","2 Metropolitan","KENT TOWN","5067","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,0,0,0,0,2013,"January","Thursday","05:45 pm","060","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Turn","01","Driver Rider","1: PDO","Traffic Signals","","",1329923.35,1671041.33,"13299231671041"
"2013-7-27/05/2021","2 Metropolitan","HACKNEY","5069","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,0,0,0,0,2013,"January","Wednesday","02:20 pm","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","1: PDO","No Control","","",1329834.1,1671719.35,"13298341671719"
"2013-8-27/05/2021","1 City","ADELAIDE","5000","CITY OF ADELAIDE",2,0,0,0,0,2013,"January","Tuesday","05:15 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","Give Way Sign","","",1327749.82,1670495.92,"13277501670496"
"2013-9-27/05/2021","2 Metropolitan","URRBRAE","5064","CC MITCHAM.                   ",2,0,0,0,0,2013,"January","Wednesday","07:15 pm","060","Cross Road","CURVED, VIEW OPEN","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","1: PDO","Traffic Signals","","",1332373.16,1666370.92,"13323731666371"
"2013-10-27/05/2021","2 Metropolitan","MAGILL","5072","CC CAMPBELLTOWN.              ",2,1,0,0,1,2013,"January","Wednesday","06:30 pm","060","T-Junction","CURVED, VIEW OPEN","Slope","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","2: MI","Stop Sign","","",1336296.35,1672154.98,"13362961672155"
